"","country","continent","leg_pow","ex_pow","jud_pow","leg_share","ex_share","jud_share","SPI_index","freedom_vdem","num_rights","dummy_freexp","replace_ex","serve_min","interpellate","investigate","oversee_pol","appoint_pm","appoint_min","lack_pres","no_conf","no_diss","no_decree","no_veto","no_review","no_gate","no_impound","cont_resor","immunity","elected","amend","war","treaty","amnesty","pardon","judiciary","bank","media","sessions","secretary","staff","no_limit","seek_reelect","experience","jscore_1","jscore_2","jscore_3","jscore_4","jscore_5","jscore_6","jscore_7","jscore_8","jscore_9","jscore_10","escore_1","escore_2","escore_3","escore_4","escore_5","escore_6","escore_7","escore_8","escore_9","log_vdem","con_age","mil_spend","nat_inc","gender_development","gender_inequality","brit_col","chrst_pct","islm_pct","jud_pct","bud_pct","rel_dom","mil_events","gini_index","polity","dummy_eu","dummy_am"
"21","Canada","Americas",0.698001448,0.222,0.262,0.590525036311123,0.187817028799444,0.221657934889433,0.387,0.953151965037884,35,1,0.036001665,0.020708647,0.035832422,0.038494086,0.035647801,0.032693817,0,0.024693446,0.034832379,0,0.03389387,0,0,0.036217058,0.033632321,0.03629398,0,0,0,0.034616981,0.034001569,0.020077851,0.018600857,0,0,0,0.035893966,0.025785805,0.030832191,0.032186099,0.033816947,0.03324769,0.62,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-3.06084621435523,141,1.248621382,37446.48609,0.982,0.121,1,0.8067,0.02,0.0106,0.0187,TRUE,0,31,10,0,1
"22","Central African Republic","Africa",0.394710528,0.389,0.541,0.297959833229317,0.293649059004082,0.408391107766602,0.113,0.663624235987367,43,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0,0,0.036217058,0,0,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0,0,0,0,0,0,0.032186099,0.033816947,0,0.75,0.33,0.33,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.5,1,-1.08952639862547,4,1.49177304,416.4112721,0.751,0.678,0,0.492,0.15,0,0,FALSE,0,51,-1,0,0
"23","Chad","Africa",0.435358555,0.333,0.583,0.322163613342426,0.246418686415908,0.431417700241665,0.161,0.527583424748064,43,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0.03703248,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0,0,0,0,0,0,0.032186099,0.033816947,0,1,0.33,0,1,1,0.5,0,1,1,0,1,1,0.5,0,0,0,0,0,0.5,-0.74989410795031,12,5.906335613,517.6730597,0.755,NA,0,0.33,0.552,0,2e-04,FALSE,13,41,-2,0,0
"24","Chile","Americas",0.5887964,0.778,0.634,0.294281017298912,0.388845161856549,0.31687382084454,0.086,0.930455661189363,43,1,0.036001665,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0.03389387,0,0,0,0,0.03629398,0,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0.023554932,0.035893966,0.025785805,0.030832191,0.032186099,0.033816947,0.03324769,1,0.67,0.67,1,1,1,0,0,1,0,0.5,0.5,0.5,0.5,1,1,1,1,1,-2.66579076132841,28,2.584010483,7468.454107,0.956,0.358,0,0.8775,2e-04,0.0013,1e-04,TRUE,0,45.8,10,0,1
"25","China","Asia",0.556487228,0.222,0.228,0.552900436805145,0.220569117842795,0.22653044535206,0.329,0.254084158743043,30,1,0.036001665,0,0.035832422,0.038494086,0,0,0.030709109,0.024693446,0,0.036478606,0,0.03703248,0.026339678,0.036217058,0,0,0.024154961,0,0.032678433,0.034616981,0.034001569,0,0,0.029985998,0,0,0,0,0,0.032186099,0.033816947,0.03324769,0.62,0.33,0.33,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,-0.293142498470754,26,1.878156146,2809.237884,0.939,0.189,0,0.058,0.025,0,0.126,FALSE,5,43.2,-7,0,0
"26","Colombia","Americas",0.601058511,0.389,0.46,0.414506384701327,0.268265036927189,0.317228578371483,0.129,0.719382988114164,73,1,0.036001665,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0,0.03703248,0,0,0,0.03629398,0,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0.025785805,0.030832191,0.032186099,0.033816947,0.03324769,1,0,1,0.6,0,0,0,1,1,0,0.5,0,0,0.5,0,0,1,0.5,1,-1.27076448633099,17,3.709744276,4269.024533,0.993,0.434,0,0.9701,6e-04,2e-04,0,TRUE,9,51.1,7,0,1
"27","Congo","Africa",0.360816649,0.5,0.488,0.267506075987056,0.370695305674567,0.361798618338377,0.099,0.49234642981661,53,1,0,0,0,0,0,0,0,0,0,0.036478606,0.03389387,0,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0,0,0.034001569,0.020077851,0,0,0,0,0.035893966,0,0,0.032186099,0.033816947,0,0.88,0.33,0.67,0,1,0,0,1,1,0,0.5,0.5,0.5,0,0,0,1,1,1,-0.677956012494167,7,2.041300007,502.8055055,0.913,0.615,0,0.8413,0.0205,0,0,TRUE,0,46.5,-4,0,0
"28","Congo, Democratic Republic Of (Zaire)","Africa",0.466329222,0.444,0.408,0.353727440929016,0.336789925149668,0.309482633921316,0.039,0.607984859078272,56,1,0,0,0.035832422,0.038494086,0,0.032693817,0,0,0.034832379,0,0,0.03703248,0,0.036217058,0,0,0.024154961,0.037801742,0.032678433,0.034616981,0,0.020077851,0,0,0,0,0.035893966,0,0,0.032186099,0.033816947,0,0.75,0.33,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,-0.936454815137266,3,0.833061033,210.9201547,0.803,0.677,0,0.9186,0.015,0,1e-04,TRUE,8,42.2,5,0,0
"29","Costa Rica","Americas",0.55868732,0.5,0.418,0.378338265950574,0.338595715713195,0.283066018336231,0.083,0.968353652462967,54,1,0,0,0.035832422,0.038494086,0.035647801,0,0,0,0,0.036478606,0.03389387,0,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0.025785805,0.030832191,0,0,0,0.75,0.33,0,0.6,1,1,0,0,0.5,0,1,0,0,0,1,0,1,0.5,1,-3.45313253872476,59,0,6321.029832,0.965,0.324,0,0.951,0,6e-04,3e-04,TRUE,0,45.3,10,0,1
"30","Cote D'Ivoire","Africa",0.433219992,0.333,0.608,0.315247918471557,0.242319280710915,0.442432800817527,0.175,0.751816028044696,35,1,0,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0,0,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0,0,0,0,0,0,0.032186099,0.033816947,0.03324769,0.75,0.33,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,-1.39358498543097,8,1.522855742,1100.602702,0.745,0.681,0,0.3249,0.3913,0,5e-04,FALSE,0,41.2,-88,0,0
