,country,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se
53,Ethiopia,2008,32.2,1.9,32.7,2.2,NA,NA,NA,NA
54,Fiji,2008,39.7,1.8,41.2,2.2,NA,NA,NA,NA
55,Finland,2008,25.2,0.6,47.2,0.8,22,1,46.6,1.3
56,France,2008,28.9,0.8,47.3,1.1,18.4,1.4,38.9,1.8
57,Gabon,2008,39.4,2.6,39.8,3.1,NA,NA,NA,NA
58,Gambia,2008,43.2,2.2,43.6,2.6,NA,NA,NA,NA
59,Georgia,2008,38.8,1.1,47.4,1.7,8.6,2,18.1,2.6
60,German Federal Republic,2008,28.6,0.7,51.1,0.9,22.5,1.1,44,1.4
61,Ghana,2008,40.8,2,42.2,2.4,NA,NA,NA,NA
62,Greece,2008,32.9,0.8,48.9,1.2,16,1.4,32.7,1.8
63,Grenada,2008,43.1,4.2,41,5.8,NA,NA,NA,NA
64,Guatemala,2008,47.2,1.3,49.2,1.5,2,2,4.1,2.5
65,Guinea,2008,37.6,1.6,38.3,2,NA,NA,NA,NA
66,Guinea-Bissau,2008,42.6,2.1,43.3,2.5,NA,NA,NA,NA
67,Guyana,2007,46.6,,,,,,,
68,Haiti,2008,53,3.5,58.3,5.1,NA,NA,NA,NA
69,Honduras,2008,50.8,1.1,50.3,2.8,-0.5,3,-1,4.1
70,Hong Kong,2008,40.8,2.1,46.1,3,5.3,3.7,11.5,4.8
71,Hungary,2008,26.7,0.9,49.9,1.4,23.2,1.7,46.5,2.2
72,Iceland,2008,28.5,0.8,38.9,1.2,10.4,1.4,26.7,1.8
73,India,2008,46.4,1.2,48.5,1.4,2.1,1.8,4.3,2.3
74,Indonesia,2008,44.4,1.4,39.5,1.7,NA,NA,NA,NA
75,Iran (Persia),2008,39.3,1.3,43,2.6,3.7,2.9,8.6,3.9
76,Iraq,2008,30.6,1.7,31.6,2,NA,NA,NA,NA
77,Ireland,2008,29.5,0.8,50.7,1.1,21.2,1.4,41.8,1.8
78,Israel,2008,36.6,0.9,50.3,1.2,13.7,1.5,27.2,1.9
79,Italy/Sardinia,2008,32.8,0.8,47.2,1.1,14.4,1.4,30.5,1.8
80,Jamaica,2008,41,1.7,41.4,2.3,NA,NA,NA,NA
81,Japan,2008,30.5,0.9,42.1,1.3,11.6,1.6,27.6,2.1
82,Jordan,2008,34.8,1.4,35.6,1.7,NA,NA,NA,NA
83,Kazakhstan,2008,27,0.9,37,1.5,NA,NA,NA,NA
84,Kenya,2008,44.3,2.1,45.7,2.7,NA,NA,NA,NA
85,"Korea, Republic Of",2008,31.2,0.6,34.4,0.7,3.2,0.9,9.3,1.1
86,Kosovo,2008,31.6,2.3,43.2,5.1,NA,NA,NA,NA
87,Kuwait,,,,,,,,,
88,Kyrgyz Republic,2008,34.9,1,38.3,1.4,NA,NA,NA,NA
89,Laos,2008,34.9,1.7,35.7,2,NA,NA,NA,NA
90,Latvia,2008,35.8,1,48,2,12.2,2.2,25.4,3
91,Lebanon,2008,35.4,2.3,36.3,2.7,NA,NA,NA,NA
92,Lesotho,2008,51.9,3.7,55.4,2.8,NA,NA,NA,NA
93,Liberia,2008,35.7,2.1,36.1,2.6,NA,NA,NA,NA
94,Lithuania,2008,33.8,0.9,48.1,1.5,14.3,1.7,29.7,2.3
95,Luxembourg,2008,28.1,0.7,46.2,1,18.1,1.2,39.2,1.6
96,Macedonia (Former Yugoslav Republic Of),2008,34.7,1.5,46.6,3.6,NA,NA,NA,NA
97,Madagascar (Malagasy),2008,41.7,2,41.9,2.4,NA,NA,NA,NA
98,Malawi,2008,43.4,1.8,43.9,2,NA,NA,NA,NA
99,Malaysia,2008,41.7,1.4,43.4,1.8,NA,NA,NA,NA
100,Maldives,2008,39.7,2.3,40.6,2.8,NA,NA,NA,NA
101,Mali,2008,37.6,1.9,37.8,2.2,NA,NA,NA,NA
102,Malta,2008,27.1,2,46.4,3.7,NA,NA,NA,NA
103,Mauritania,2008,36.7,1.6,37.2,1.8,NA,NA,NA,NA
104,Mauritius,2008,36.4,1.8,40.6,2.3,NA,NA,NA,NA
105,Mexico,2008,46.6,0.7,49.5,0.9,2.9,1.1,5.9,1.4
106,Micronesia,2008,42.2,2.8,42.9,3.6,NA,NA,NA,NA
107,Moldova,2008,37.3,1.2,42.9,2.4,NA,NA,NA,NA
108,Mongolia,2008,33.5,1.5,34.2,1.8,NA,NA,NA,NA
109,Montenegro,2008,31.5,1.8,40.4,4,NA,NA,NA,NA
110,Morocco,2008,39.8,2,40.8,2.4,NA,NA,NA,NA
111,Mozambique,2008,43.6,1.4,44,1.6,NA,NA,NA,NA
