Series Name,Series Code,country,Country Code,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,France,FRA,25370.13118,28989.06782,29858.36279,31271.29466,35578.56437,38593.13167,34943.60285,34316.34365,37000.22989,34042.09986,35465.64535,35823.71835,30555.56233,30815.89693,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gabon,GAB,3019.79473,3059.30373,3586.856782,3647.863998,3990.631521,4546.377243,4493.46964,4509.270505,4970.009561,4929.373865,5298.872844,6149.64139,5213.817155,5067.019794,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Gambia, The",GMB,267.1817756,320.9545591,331.6089808,329.6982001,383.5045799,444.5682063,394.5944935,405.4965087,348.6734965,333.604605,325.4983251,293.8836005,305.4334251,318.7901699,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Georgia,GEO,824.9893689,1100.266047,1392.310138,1726.055025,2254.827024,2824.459366,2400.608881,2536.376962,3148.743338,3621.873753,3712.354971,3904.713718,3250.060804,3252.226718,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,German Federal Republic,DEU,24891.97346,28579.76626,29054.0424,30908.89167,35363.00152,38228.39627,34992.91993,35136.96524,39716.36333,37201.94023,39224.36542,40440.41913,34795.64069,35517.59898,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ghana,GHA,296.0358492,339.6783014,402.839923,763.0538201,878.9900993,968.2842242,838.3300015,992.3857034,1116.138483,1078.600205,1234.522351,897.6137402,874.5849703,952.5847209,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greece,GRC,15753.59559,18572.90887,19305.06064,20761.3621,23873.03972,26182.9617,24321.6775,21816.31615,20535.86226,18054.56315,17595.20834,17755.50337,14620.27469,14275.27238,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guatemala,GTM,1555.318007,1654.746338,1826.169015,1956.967178,2133.191208,2371.943846,2230.445336,2361.934751,2652.640491,2773.843101,2909.88452,3082.311989,3302.934784,3486.993883,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea,GIN,276.1970272,297.9532187,223.0103349,329.4063423,494.795589,503.1612011,457.2648461,457.4658275,430.6606649,461.7140538,534.7067164,552.5203966,532.9799359,463.9623429,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea-Bissau,GNB,306.2555827,340.146682,366.3785756,361.7676052,404.3756379,483.2722843,445.0927091,459.4986139,596.5932328,503.9285283,504.3357736,536.2931657,481.935018,496.1643704,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guyana,GUY,884.6656467,854.0954992,993.2640324,1925.699861,2278.043718,2404.953499,2534.365238,2670.881118,2904.600952,3124.526546,3302.401185,3527.199607,3628.251884,3949.419208,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Haiti,HTI,317.8581627,372.6468484,444.4553972,483.4732079,587.9897551,640.8350198,635.9825495,625.4693846,703.9064743,729.1454175,766.0837643,782.5089418,766.2347292,693.8855852,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Honduras,HND,1039.48576,1081.826642,1167.42805,1269.4105,1434.741571,1569.548079,1612.022973,1695.727965,1852.615321,1881.029119,1829.354398,1895.809771,2019.976905,2049.157909,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Hungary,HUN,6630.525719,8081.191856,8787.796214,8963.115279,10670.456,12121.17631,10024.61651,10030.04468,10820.39217,9907.308477,10791.43549,11075.52077,9650.375043,9991.238563,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Iceland,ISL,..,..,..,..,..,..,..,..,32357.58163,32539.74944,39394.47313,43434.44821,42822.46834,52292.77074,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,471.6933595,546.3320499,619.2248521,690.6079293,888.3815477,851.0608475,955.8646067,1159.451205,1259.542638,1248.451734,1254.241915,1366.025674,1380.033125,1461.624029,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Indonesia,IDN,774.1453341,813.9024482,873.8561792,1113.796107,1302.747335,1521.41279,1651.192943,2329.729458,2689.267957,2754.319172,2716.790055,2638.915489,2566.413927,2817.018334,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Iran (Persia),IRN,1759.552417,2138.296625,2500.028915,2873.351972,3824.609428,4308.47724,4538.801333,5338.755915,6236.743829,6214.783345,4626.140467,4247.951551,3775.739095,3966.682246,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Iraq,IRQ,..,1015.252086,1388.059966,1807.130625,2470.563129,3669.26831,3104.028617,3613.212083,4438.850775,5188.88328,5436.327159,5181.25709,3871.774428,3398.083184,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ireland,IRL,30390.16964,34990.77324,37010.01781,39276.9517,44076.51337,44216.54011,35703.56885,33438.81743,34634.89484,32492.04205,35796.55095,38413.06302,34338.56523,37783.76585,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Israel,ISR,15385.75077,16207.26474,17157.75255,18402.83448,21113.6968,24603.6064,23042.008,25869.25984,28718.0566,27298.77572,30778.48367,32271.99209,30683.48101,31884.84708,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Italy/Sardinia,ITA,23084.75714,26342.50856,27009.72757,28285.11249,31759.15221,33620.52585,30570.72324,29492.91265,31407.04848,28352.85333,28757.98649,28897.58163,24539.27276,25262.38461,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Jamaica,JAM,2984.144356,3214.463057,3509.717609,3734.580082,3991.950052,4293.628373,3700.009108,4124.436338,4528.606723,4720.178942,4482.45214,4357.279394,4394.195502,4226.222195,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Japan,JPN,27559.5367,30039.1657,29741.02082,28339.62771,28276.00391,30965.21121,31695.25179,35066.92354,38101.78272,38602.86861,32487.2001,30690.23136,28061.8243,31117.79901,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Jordan,JOR,1711.966106,1897.157806,2032.688997,2373.538937,2588.44032,3142.500152,3249.910753,3323.350027,3431.018537,3478.776892,3594.631996,3654.281535,3677.082783,3686.181272,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kazakhstan,KAZ,1376.523335,1803.044377,2131.930601,2929.008724,4360.140973,5286.994908,4859.659696,5784.504419,7204.746447,8037.966184,9612.721992,8918.424217,8033.355099,5470.227081,..
